
Room events/bookings....
Room - CSB/01/020
Event name, duration, date/time, planned size
CSC7086/PR1/01,180,13.12.2018 17:30:00,50
CSC7086/PR1/01,180,17.01.2019 17:30:00,50
CSC7086/PR1/01,180,24.01.2019 17:30:00,50
CSC7086/PR1/01,180,31.01.2019 17:30:00,50
CSC7086/PR1/01,180,07.02.2019 17:30:00,50
CSC7086/PR1/01,180,14.02.2019 17:30:00,50
CSC7086/PR1/01,180,21.02.2019 17:30:00,50
CSC7086/PR1/01,180,28.02.2019 17:30:00,50
CSC7086/PR1/01,180,07.03.2019 17:30:00,50
CSC7086/PR1/01,180,14.03.2019 17:30:00,50
Cyberfirst Event,150,26.01.2019 18:30:00,10
Cyberfirst Event,600,26.01.2019 08:30:00,10
ECS1001/LT1/01,120,26.09.2018 11:00:00,70
ECS1001/LT1/01,120,03.10.2018 11:00:00,70
ECS1001/LT1/01,120,10.10.2018 11:00:00,70
ECS1001/LT1/01,120,17.10.2018 11:00:00,70
ECS1001/LT1/01,120,24.10.2018 11:00:00,70
ECS1001/LT1/01,120,31.10.2018 11:00:00,70
ECS1001/LT1/01,120,07.11.2018 11:00:00,70
ECS1001/LT1/01,120,14.11.2018 11:00:00,70
ECS1001/LT1/01,120,21.11.2018 11:00:00,70
ECS1001/LT1/01,120,28.11.2018 11:00:00,70
ECS1001/LT1/01,120,05.12.2018 11:00:00,70
ECS1001/LT1/01,120,12.12.2018 11:00:00,70
ECS1001/LT2/01,120,16.01.2019 09:00:00,70
ECS1001/LT2/01,120,23.01.2019 09:00:00,70
ECS1001/LT2/01,120,30.01.2019 09:00:00,70
ECS1001/LT2/01,120,06.02.2019 09:00:00,70
ECS1001/LT2/01,120,13.02.2019 09:00:00,70
ECS1001/LT2/01,120,20.02.2019 09:00:00,70
ECS1001/LT2/01,120,27.02.2019 09:00:00,70
ECS1001/LT2/01,120,06.03.2019 09:00:00,70
ECS1001/LT2/01,120,13.03.2019 09:00:00,70
ECS1001/LT2/01,120,20.03.2019 09:00:00,70
ECS1001/LT2/01,120,27.03.2019 09:00:00,70
ECS1001/LT2/01,120,03.04.2019 09:00:00,70
Final Year Project Showcase 19,540,01.05.2019 09:00:00,10
Python Teacher Training,270,26.09.2018 17:00:00,20
Python Teacher Training,270,03.10.2018 17:00:00,20
Python Teacher Training,270,10.10.2018 17:00:00,20
Python Teacher Training,270,17.10.2018 17:00:00,20
Python Teacher Training,270,24.10.2018 17:00:00,20
Python Teacher Training,270,31.10.2018 17:00:00,20
Python Teacher Training,270,07.11.2018 17:00:00,20
Python Teacher Training,270,14.11.2018 17:00:00,20
Python Teacher Training,270,21.11.2018 17:00:00,20
Python Teacher Training,270,28.11.2018 17:00:00,20
Python Teacher Training,270,05.12.2018 17:00:00,20
Python Teacher Training,270,12.12.2018 17:00:00,20
Python Teacher Training,270,09.01.2019 17:00:00,20
Python Teacher Training,270,16.01.2019 17:00:00,20
Python Teacher Training,270,23.01.2019 17:00:00,20
Python Teacher Training,270,30.01.2019 17:00:00,20
Python Teacher Training,270,06.02.2019 17:00:00,20
Python Teacher Training,270,13.02.2019 17:00:00,20
Python Teacher Training,270,20.02.2019 17:00:00,20
Python Teacher Training,270,27.02.2019 17:00:00,20
Python Teacher Training,270,06.03.2019 17:00:00,20
Python Teacher Training,270,13.03.2019 17:00:00,20
Python Teacher Training,270,20.03.2019 17:00:00,20
Python Teacher Training,270,27.03.2019 17:00:00,20

Room - CSB/02/003
Event name, duration, date/time, planned size

,,,

Room - CSB/02/017
Event name, duration, date/time, planned size

18/07/27 13:41:24 Russell Kane [2077752],300,09.11.2018 18:00:00,10
18/07/27 13:43:23 Russell Kane [2077752],900,10.11.2018 08:00:00,10
18/07/27 13:43:23 Russell Kane [2077752],900,11.11.2018 08:00:00,10
4th UK Ecosystem,300,22.02.2019 18:00:00,10
4th UK Ecosystem,900,23.02.2019 08:00:00,10
4th UK Ecosystem,900,24.02.2019 08:00:00,10
Allstate Global Hackathon,840,26.10.2018 10:00:00,10
Allstate Global Hackathon,840,27.10.2018 10:00:00,10
Allstate Global Hackathon,840,28.10.2018 10:00:00,10
An Evening with Tech,240,28.11.2018 18:00:00,10
CSC2047 Green Room,120,11.01.2019 11:00:00,30
CSC3047/AD1/01,60,02.10.2018 10:00:00,25
